"No Fournisseur","Division","No Doc d'achat","Item","No Pièce","Description","Sous Description","No dessin","Rév dessin","Prix","Devise","UM Prix","Base de prix","Unité qté à Unité prix","Unité prix à Unité qté","Ach","Planif","Pays Orig","Code HS","Code visa","UM Qté","Type emb","Date déb qté cum","Qté cum  reçue","Qté cum zone ferme","Qté cum zone matière","Qté dern récep","Date dern récep","Type d'appel","No appel","Date appel","Heure appel","Date fin zone ferme","Date fin zone Matière","Qté Cédulée","Qté Reçue","Bal à recevoir","Date Récp au Site BRP","Heure Récp au Site BRP","Regroup","Ferme ou Matière","Qté Appel Préc","Diff qté cédulée"
"0000104947","0001","5500024964","00010","267000054","ARBRE D'HELICE","","267000054","B.","6.86","USD","PC","1","1","1","105","201","CA","","","PC","64","2007/08/15","57380.000","57452.000","57452.000","525.000","2008/06/06","1","0000000049","2008/06/09","15:03:05","2008/06/23","2008/08/04","490.000","490.000","0","2008/06/09","00:00:00","D","F","525.000","-35.000"
"0000104947","0001","5500024964","00010","267000054","ARBRE D'HELICE","","267000054","B.","6.86","USD","PC","1","1","1","105","201","CA","","","PC","64","2007/08/15","57380.000","57452.000","57452.000","525.000","2008/06/06","1","0000000049","2008/06/09","15:03:05","2008/06/23","2008/08/04","72.000","0","72.000","2008/06/10","00:00:00","D","F","72.000","0"
"0000104947","0001","5500024963","00010","274001372","INJECTEUR D`EAU","","274001372","B","1.54","USD","PC","1","1","1","105","201","CA","","","PC","64","2007/08/15","69450.000","69450.000","69450.000","1000.000","2008/05/29","1","0000000061","2008/06/09","01:08:45","2008/06/23","2008/07/28","0","0","0","","","","","0","0"
"0000104947","0001","5500024961","00010","277001552","BLOC D'ÉLÉVATION AVANT","","277001552","A","20.49","USD","PC","1","1","1","105","201","CA","","","PC","88","2007/08/15","19319.000","19319.000","19319.000","307.000","2008/06/04","1","0000000055","2008/06/09","01:08:44","2008/07/07","2008/08/18","0","0","0","","","","","0","0"
"0000104947","0001","5500024958","00010","277001559","LOGEMENT INFERIEUR","","277001559","B","11.03","USD","PC","1","1","1","105","201","CA","","","PC","84","2007/08/15","19274.000","19274.000","19274.000","268.000","2008/06/05","1","0000000051","2008/06/09","01:08:43","2008/07/07","2008/08/18","0","0","0","","","","","0","0"
"0000104947","0001","5500024960","00010","277001560","LOGEMENT SUPERIEUR GAUCHE","","277001560","C","18.07","USD","PC","1","1","1","105","201","CA","","","PC","86","2007/08/15","19242.000","19242.000","19242.000","14.000","2008/06/03","1","0000000049","2008/06/09","01:08:43","2008/07/07","2008/08/18","0","0","0","","","","","0","0"
"0000104947","0001","5500024959","00010","277001563","LOGEMENT SUPERIEUR","","277001563","C","11.98","USD","PC","1","1","1","105","201","CA","","","PC","84","2007/08/15","19274.000","19274.000","19274.000","288.000","2008/06/05","1","0000000051","2008/06/09","01:08:43","2008/07/07","2008/08/18","0","0","0","","","","","0","0"
"0000104947","0001","5500024956","00010","277001564","MANETTE D'ACCELERATEUR","","277001564","C","15.95","USD","PC","1","1","1","105","201","CA","","","PC","86","2007/08/15","19273.000","19273.000","19273.000","184.000","2008/06/06","1","0000000050","2008/06/09","01:08:42","2008/07/07","2008/08/18","0","0","0","","","","","0","0"
"0000104947","0001","5500024962","00010","277001569","BLOC D'ELEVATION","","277001569","A","23.05","USD","PC","1","1","1","105","201","CA","","","PC","88","2007/08/15","19070.000","19070.000","19070.000","294.000","2008/06/04","1","0000000054","2008/06/09","01:08:44","2008/07/07","2008/08/18","0","0","0","","","","","0","0"
"0000104947","0001","5500024957","00010","277001570","LOGEMENT INFERIEUR DROIT","","277001570","C","19.24","USD","PC","1","1","1","105","201","CA","","","PC","86","2007/08/15","19285.000","19285.000","19285.000","221.000","2008/06/02","1","0000000052","2008/06/09","01:08:42","2008/07/07","2008/08/18","0","0","0","","","","","0","0"
"0000104947","0001","5500031048","00010","503189272","ARBRE D'AMORTISSEUR CENTRAL","","503189272","F.","2.56","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/02/26","125.000","125.000","125.000","125.000","2008/05/22","1","0000000018","2008/06/09","01:08:48","2008/07/07","2008/08/18","2469.000","21.000","2448.000","2008/08/25","00:00:00","W","","2469.000","0"
"0000104947","0001","5500031048","00010","503189272","ARBRE D'AMORTISSEUR CENTRAL","","503189272","F.","2.56","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/02/26","125.000","125.000","125.000","125.000","2008/05/22","1","0000000018","2008/06/09","01:08:48","2008/07/07","2008/08/18","864.000","0","864.000","2008/09/01","00:00:00","W","","864.000","0"
"0000104947","0001","5500031048","00010","503189272","ARBRE D'AMORTISSEUR CENTRAL","","503189272","F.","2.56","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/02/26","125.000","125.000","125.000","125.000","2008/05/22","1","0000000018","2008/06/09","01:08:48","2008/07/07","2008/08/18","1680.000","0","1680.000","2008/09/08","00:00:00","W","","1680.000","0"
"0000104947","0001","5500031048","00010","503189272","ARBRE D'AMORTISSEUR CENTRAL","","503189272","F.","2.56","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/02/26","125.000","125.000","125.000","125.000","2008/05/22","1","0000000018","2008/06/09","01:08:48","2008/07/07","2008/08/18","1264.000","0","1264.000","2008/09/15","00:00:00","W","","1264.000","0"
"0000104947","0001","5500034163","00010","503190965","CULBUTEUR GAUCHE","","503190965","C.","2.94","USD","PC","1","1","1","150","201","CA","","","PC","82","2008/05/02","0","0","70.000","0","0000/00/00","1","0000000006","2008/06/09","01:08:55","2008/07/07","2008/08/18","70.000","0","70.000","2008/08/11","00:00:00","W","M","70.000","0"
"0000104947","0001","5500034163","00010","503190965","CULBUTEUR GAUCHE","","503190965","C.","2.94","USD","PC","1","1","1","150","201","CA","","","PC","82","2008/05/02","0","0","70.000","0","0000/00/00","1","0000000006","2008/06/09","01:08:55","2008/07/07","2008/08/18","910.000","0","910.000","2008/08/18","00:00:00","W","","910.000","0"
"0000104947","0001","5500034163","00010","503190965","CULBUTEUR GAUCHE","","503190965","C.","2.94","USD","PC","1","1","1","150","201","CA","","","PC","82","2008/05/02","0","0","70.000","0","0000/00/00","1","0000000006","2008/06/09","01:08:55","2008/07/07","2008/08/18","276.000","0","276.000","2008/08/25","00:00:00","W","","276.000","0"
"0000104947","0001","5500034164","00010","503190966","CULBUTEUR DROIT","","503190966","B.","2.94","USD","PC","1","1","1","150","201","CA","","","PC","82","2008/05/02","0","70.000","70.000","0","0000/00/00","1","0000000006","2008/06/09","01:08:55","2008/07/07","2008/08/18","0","0","0","2008/07/07","00:00:00","W","M","70.000","-70.000"
"0000104947","0001","5500034164","00010","503190966","CULBUTEUR DROIT","","503190966","B.","2.94","USD","PC","1","1","1","150","201","CA","","","PC","82","2008/05/02","0","70.000","70.000","0","0000/00/00","1","0000000006","2008/06/09","01:08:55","2008/07/07","2008/08/18","70.000","0","70.000","2008/07/07","00:00:00","D","F","0","70.000"
"0000104947","0001","5500034164","00010","503190966","CULBUTEUR DROIT","","503190966","B.","2.94","USD","PC","1","1","1","150","201","CA","","","PC","82","2008/05/02","0","70.000","70.000","0","0000/00/00","1","0000000006","2008/06/09","01:08:55","2008/07/07","2008/08/18","910.000","0","910.000","2008/08/18","00:00:00","W","","910.000","0"
