"No Fournisseur","Division","No Doc d'achat","Item","No Pièce","Description","Sous Description","No dessin","Rév dessin","Prix","Devise","UM Prix","Base de prix","Unité qté à Unité prix","Unité prix à Unité qté","Ach","Planif","Pays Orig","Code HS","Code visa","UM Qté","Type emb","Date déb qté cum","Qté cum  reçue","Qté cum zone ferme","Qté cum zone matière","Qté dern récep","Date dern récep","Type d'appel","No appel","Date appel","Heure appel","Date fin zone ferme","Date fin zone Matière","Qté Cédulée","Qté Reçue","Bal à recevoir","Date Récp au Site BRP","Heure Récp au Site BRP","Regroup","Ferme ou Matière","Qté Appel Préc","Diff qté cédulée"
"0000104947","0001","5500038058","00010","267000388","ARBRE D'HELICE RECOUVERT","","267000388","A","15.88","USD","PC","1","1","1","105","201","CA","","","PC","P4","2008/09/09","30443.000","31243.000","31243.000","376.000","2009/08/17","1","0000000065","2009/08/17","11:27:25","2009/09/14","2009/10/12","376.000","376.000","0","2009/08/17","00:00:00","D","F","400.000","-24.000"
"0000104947","0001","5500038058","00010","267000388","ARBRE D'HELICE RECOUVERT","","267000388","A","15.88","USD","PC","1","1","1","105","201","CA","","","PC","P4","2008/09/09","30443.000","31243.000","31243.000","376.000","2009/08/17","1","0000000065","2009/08/17","11:27:25","2009/09/14","2009/10/12","0","0","0","2009/08/18","00:00:00","D","F","800.000","-800.000"
"0000104947","0001","5500038058","00010","267000388","ARBRE D'HELICE RECOUVERT","","267000388","A","15.88","USD","PC","1","1","1","105","201","CA","","","PC","P4","2008/09/09","30443.000","31243.000","31243.000","376.000","2009/08/17","1","0000000065","2009/08/17","11:27:25","2009/09/14","2009/10/12","800.000","0","800.000","2009/09/01","00:00:00","D","F","0","800.000"
"0000104947","0001","5500038059","00010","274001372","INJECTEUR D`EAU","","274001372","B","1.54","USD","PC","1","1","1","105","201","CA","","","PC","62","2008/09/09","28100.000","28350.000","28350.000","350.000","2009/08/14","1","0000000063","2009/08/17","02:02:14","2009/09/14","2009/10/12","250.000","0","250.000","2009/08/17","00:00:00","D","F","250.000","0"
"0000104947","0001","5500041256","00010","279000000","BRAS AVANT ASSEMBLE","","279000000","A","124.14","USD","PC","1","1","1","105","201","CA","","","PC","P1","2008/12/18","6603.000","6603.000","6603.000","195.000","2009/07/21","1","0000000054","2009/08/17","02:02:19","2009/09/14","2009/10/12","0","0","0","","","","","0","0"
"0000104947","0001","5500041257","00010","279000001","BRAS ARRIERE ASSEMBLE","","279000001","A","82.00","USD","PC","1","1","1","105","201","CA","","","PC","P1","2008/12/18","6607.000","6607.000","6607.000","195.000","2009/08/13","1","0000000053","2009/08/17","02:02:20","2009/09/14","2009/10/12","0","0","0","","","","","0","0"
"0000104947","0001","5500040176","00010","279000065","REPOSE-PIED","","279000065","A","16.89","USD","PC","1","1","1","105","201","CA","","","PC","P4","2008/11/18","13250.000","13250.000","13250.000","400.000","2009/08/13","1","0000000057","2009/08/17","02:02:17","2009/10/12","2009/11/09","0","0","0","","","","","0","0"
"0000104947","0001","5500041118","00010","279000124","ADAPTATEUR ALIGNEMENT RESSORT USINÉ","","279000124","B","5.01","USD","PC","1","1","1","105","201","CA","","","PC","64","2008/12/12","6678.000","6678.000","6678.000","426.000","2009/07/09","1","0000000053","2009/08/17","02:02:19","2009/10/12","2009/11/09","0","0","0","","","","","0","0"
"0000104947","0001","5500041117","00010","279000152","ATTACHE USINÉ","","279000152","A","3.79","USD","PC","1","1","1","105","201","CA","","","PC","64","2008/12/12","6681.000","6681.000","6681.000","466.000","2009/07/09","1","0000000052","2009/08/17","02:02:18","2009/10/12","2009/11/09","0","0","0","","","","","0","0"
"0000104947","0001","5500038918","00010","293900093","DOUILLE MOTEUR","","293900093","","3.71","USD","PC","1","1","1","127","201","CA","","","PC","62","2008/10/08","2300.000","2300.000","2300.000","700.000","2009/02/25","1","0000000054","2009/08/17","02:02:15","2009/08/31","2009/09/21","0","0","0","","","","","0","0"
"0000104947","0001","5500044834","00010","503151600","AXE","","503151600","B.","5.02","USD","PC","1","1","1","103","201","CA","","","PC","84","2009/03/25","0","100.000","376.000","0","0000/00/00","1","0000000023","2009/08/17","02:02:24","2009/10/05","2009/11/02","100.000","0","100.000","2009/08/18","00:00:00","D","F","100.000","0"
"0000104947","0001","5500044834","00010","503151600","AXE","","503151600","B.","5.02","USD","PC","1","1","1","103","201","CA","","","PC","84","2009/03/25","0","100.000","376.000","0","0000/00/00","1","0000000023","2009/08/17","02:02:24","2009/10/05","2009/11/02","276.000","0","276.000","2009/10/05","00:00:00","W","M","276.000","0"
"0000104947","0001","5500044836","00010","503167900","ESSIEU ARRIERE","","503167900","B","8.81","USD","PC","1","1","1","103","201","CA","","","PC","66","2009/03/25","0","150.000","359.000","0","0000/00/00","1","0000000023","2009/08/17","02:02:25","2009/10/05","2009/11/02","150.000","0","150.000","2009/08/18","00:00:00","D","F","150.000","0"
"0000104947","0001","5500044836","00010","503167900","ESSIEU ARRIERE","","503167900","B","8.81","USD","PC","1","1","1","103","201","CA","","","PC","66","2009/03/25","0","150.000","359.000","0","0000/00/00","1","0000000023","2009/08/17","02:02:25","2009/10/05","2009/11/02","209.000","0","209.000","2009/10/05","00:00:00","W","M","209.000","0"
"0000104947","0001","5500044837","00010","503191161","CULBUTEUR","","503191161","","2.79","USD","PC","1","1","1","103","201","CA","","","PC","84","2009/03/25","0","0","629.000","0","0000/00/00","1","0000000021","2009/08/17","02:02:25","2009/09/14","2009/10/26","629.000","0","629.000","2009/10/05","00:00:00","W","M","629.000","0"
"0000104947","0001","5500044838","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","103","201","CA","","","PC","P4","2009/03/25","4800.000","8400.000","16800.000","1200.000","2009/07/21","1","0000000021","2009/08/17","02:02:26","2009/09/14","2009/10/26","1200.000","0","1200.000","2009/08/20","00:00:00","D","F","1200.000","0"
"0000104947","0001","5500044838","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","103","201","CA","","","PC","P4","2009/03/25","4800.000","8400.000","16800.000","1200.000","2009/07/21","1","0000000021","2009/08/17","02:02:26","2009/09/14","2009/10/26","1200.000","0","1200.000","2009/08/25","00:00:00","D","F","1200.000","0"
"0000104947","0001","5500044838","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","103","201","CA","","","PC","P4","2009/03/25","4800.000","8400.000","16800.000","1200.000","2009/07/21","1","0000000021","2009/08/17","02:02:26","2009/09/14","2009/10/26","1200.000","0","1200.000","2009/09/14","00:00:00","D","F","1200.000","0"
"0000104947","0001","5500044838","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","103","201","CA","","","PC","P4","2009/03/25","4800.000","8400.000","16800.000","1200.000","2009/07/21","1","0000000021","2009/08/17","02:02:26","2009/09/14","2009/10/26","1200.000","0","1200.000","2009/09/16","00:00:00","D","M","1200.000","0"
"0000104947","0001","5500044838","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","103","201","CA","","","PC","P4","2009/03/25","4800.000","8400.000","16800.000","1200.000","2009/07/21","1","0000000021","2009/08/17","02:02:26","2009/09/14","2009/10/26","4800.000","0","4800.000","2009/10/12","00:00:00","W","M","4800.000","0"
"0000104947","0001","5500044838","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","103","201","CA","","","PC","P4","2009/03/25","4800.000","8400.000","16800.000","1200.000","2009/07/21","1","0000000021","2009/08/17","02:02:26","2009/09/14","2009/10/26","2400.000","0","2400.000","2009/10/19","00:00:00","W","M","2400.000","0"
"0000104947","0001","5500044838","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","103","201","CA","","","PC","P4","2009/03/25","4800.000","8400.000","16800.000","1200.000","2009/07/21","1","0000000021","2009/08/17","02:02:26","2009/09/14","2009/10/26","1200.000","0","1200.000","2009/10/26","00:00:00","W","","1200.000","0"
