Vendor,Buyer,Material Number,Plant,Doc Number,Item,Total Ordered,Total Received,Unit,Outstand Qty,Stat Date,Qual,S/P,Stat,Pull
15165 ,D07,3009652 ,0001,5500016170,000010, 550.000 , 0.000 ,EA , 50.000 ,2012/09/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 550.000 , 0.000 ,EA , 50.000 ,2012/10/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 550.000 , 0.000 ,EA , 50.000 ,2013/01/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 550.000 , 0.000 ,EA , 50.000 ,2013/04/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 550.000 , 0.000 ,EA , 50.000 ,2013/07/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 550.000 , 0.000 ,EA , 200.000 ,2013/09/30,A,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 550.000 , 0.000 ,EA , 100.000 ,2014/09/30,A,P,I,
15165 ,D07,3009652 ,0022,5500046750,000010, 200.000 , 0.000 ,EA , 50.000 ,2012/05/01,M,P,I,
15165 ,D07,3009652 ,0022,5500046750,000010, 200.000 , 0.000 ,EA , 50.000 ,2013/01/01,Q,P,I,
15165 ,D07,3009652 ,0022,5500046750,000010, 200.000 , 0.000 ,EA , 50.000 ,2013/09/30,A,P,I,
15165 ,D07,3009652 ,0022,5500046750,000010, 200.000 , 0.000 ,EA , 50.000 ,2014/09/30,A,P,I,
15165 ,D07,3009652 ,0032,5500042978,000010, 1285.000 , 1135.000 ,EA , 150.000 ,2011/09/23,D,S,I,
15165 ,D07,3009652 ,0032,5500042978,000010, 1650.000 , 0.000 ,EA , 150.000 ,2012/01/01,M,P,I,
15165 ,D07,3009652 ,0032,5500042978,000010, 1650.000 , 0.000 ,EA , 150.000 ,2012/04/01,M,P,I,
15165 ,D07,3009652 ,0032,5500042978,000010, 1650.000 , 0.000 ,EA , 150.000 ,2012/08/01,M,P,I,
15165 ,D07,3009652 ,0032,5500042978,000010, 1650.000 , 0.000 ,EA , 150.000 ,2012/10/01,Q,P,I,
15165 ,D07,3009652 ,0032,5500042978,000010, 1650.000 , 0.000 ,EA , 150.000 ,2013/01/01,Q,P,I,
15165 ,D07,3009652 ,0032,5500042978,000010, 1650.000 , 0.000 ,EA , 150.000 ,2013/04/01,Q,P,I,
15165 ,D07,3009652 ,0032,5500042978,000010, 1650.000 , 0.000 ,EA , 150.000 ,2013/07/01,Q,P,I,
15165 ,D07,3009652 ,0032,5500042978,000010, 1650.000 , 0.000 ,EA , 450.000 ,2013/09/30,A,P,I,
15165 ,D07,3009652 ,0032,5500042978,000010, 1650.000 , 0.000 ,EA , 150.000 ,2014/09/30,A,P,I,
