Vendor,Buyer,Material Number,Plant,Doc Number,Item,Total Ordered,Total Received,Unit,Outstand Qty,Stat Date,Qual,S/P,Stat,Pull
15165 ,D07,3004192 ,0017,FORECAST ,000000, 8.000 , 0.000 ,EA , 1.000 ,2012/07/01,M,P,I,
15165 ,D07,3004192 ,0017,FORECAST ,000000, 8.000 , 0.000 ,EA , 1.000 ,2012/12/01,Q,P,I,
15165 ,D07,3004192 ,0017,FORECAST ,000000, 8.000 , 0.000 ,EA , 1.000 ,2013/03/01,Q,P,I,
15165 ,D07,3004192 ,0017,FORECAST ,000000, 8.000 , 0.000 ,EA , 1.000 ,2013/09/01,Q,P,I,
15165 ,D07,3004192 ,0017,FORECAST ,000000, 8.000 , 0.000 ,EA , 2.000 ,2013/11/30,A,P,I,
15165 ,D07,3004192 ,0017,FORECAST ,000000, 8.000 , 0.000 ,EA , 2.000 ,2014/11/30,A,P,I,
15165 ,D07,3008949 ,0017,FORECAST ,000000, 18.000 , 0.000 ,EA , 6.000 ,2012/03/01,M,P,I,
15165 ,D07,3008949 ,0017,FORECAST ,000000, 18.000 , 0.000 ,EA , 6.000 ,2013/03/01,Q,P,I,
15165 ,D07,3008949 ,0017,FORECAST ,000000, 18.000 , 0.000 ,EA , 6.000 ,2013/11/30,A,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 500.000 , 0.000 ,EA , 50.000 ,2012/09/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 500.000 , 0.000 ,EA , 50.000 ,2012/12/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 500.000 , 0.000 ,EA , 50.000 ,2013/03/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 500.000 , 0.000 ,EA , 50.000 ,2013/06/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 500.000 , 0.000 ,EA , 50.000 ,2013/09/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 500.000 , 0.000 ,EA , 200.000 ,2013/11/30,A,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 500.000 , 0.000 ,EA , 50.000 ,2014/11/30,A,P,I,
15165 ,D07,3009652 ,0022,5500046750,000010, 200.000 , 0.000 ,EA , 50.000 ,2012/05/01,M,P,I,
15165 ,D07,3009652 ,0022,5500046750,000010, 200.000 , 0.000 ,EA , 50.000 ,2012/12/01,Q,P,I,
15165 ,D07,3009652 ,0022,5500046750,000010, 200.000 , 0.000 ,EA , 50.000 ,2013/11/30,A,P,I,
