Vendor,Buyer,Material Number,Plant,Doc Number,Item,Total Ordered,Total Received,Unit,Outstand Qty,Stat Date,Qual,S/P,Stat,Pull
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2930.000 , 2895.000 ,EA , 10.000 ,2011/11/23,D,S,S,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2930.000 , 0.000 ,EA , 10.000 ,2011/11/28,D,S,S,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2930.000 , 0.000 ,EA , 15.000 ,2011/12/22,D,S,S,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 10.000 ,2012/01/02,W,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 42.000 ,2012/01/16,W,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 67.000 ,2012/02/01,M,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 77.000 ,2012/03/01,M,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 51.000 ,2012/04/01,M,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 67.000 ,2012/05/01,M,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 81.000 ,2012/06/01,M,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 62.000 ,2012/07/01,M,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 81.000 ,2012/08/01,M,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 49.000 ,2012/09/01,M,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 76.000 ,2012/10/01,M,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 35.000 ,2012/11/01,M,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 161.000 ,2012/12/01,Q,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 195.000 ,2013/03/01,Q,P,I,
15165 ,D07,3071419-01 ,0001,5500035931,000010, 2200.000 , 0.000 ,EA , 211.000 ,2013/06/01,Q,P,I,
