Vendor,Buyer,Material Number,Plant,Doc Number,Item,Total Ordered,Total Received,Unit,Outstand Qty,Stat Date,Qual,S/P,Stat,Pull
13469 ,A37,TSD119063 ,0102,4501668220,000020, 1.000 , 0.000 ,EA , 1.000 ,2012/01/25,D,S,I,
13469 ,K03,3073844-01 ,0001,4501528206,000010, 25.000 , 7.000 ,EA , 4.000 ,2012/07/05,D,S,I,
13469 ,K03,3073844-01 ,0001,4501528206,000010, 25.000 , 0.000 ,EA , 4.000 ,2012/08/13,D,S,I,
13469 ,K03,3073844-01 ,0001,4501528206,000010, 25.000 , 0.000 ,EA , 10.000 ,2012/09/18,D,S,I,
13469 ,K03,3073844-01 ,0001,4501528206,000020, 15.000 , 0.000 ,EA , 15.000 ,2012/09/18,D,S,I,
13469 ,K23,3014699 ,0001,4501633291,000010, 5.000 , 0.000 ,EA , 5.000 ,2012/06/15,D,S,I,
13469 ,K23,3020184 ,0001,3500011722,000010, 1.000 , 0.000 ,EA , 1.000 ,2012/07/19,D,S,I,
13469 ,K23,3020184 ,0001,4501229163,000010, 45.000 , 43.000 ,EA , 2.000 ,2012/12/31,D,S,I,
13469 ,K23,3020184 ,0001,5500049638,000020, 21.000 , 7.000 ,EA , 7.000 ,2012/04/17,D,S,S,
13469 ,K23,3020184 ,0001,5500049638,000020, 21.000 , 0.000 ,EA , 7.000 ,2012/05/22,D,S,S,
13469 ,K23,3020184 ,0001,5500049638,000020, 140.000 , 0.000 ,EA , 7.000 ,2012/07/01,M,P,I,
13469 ,K23,3020184 ,0001,5500049638,000020, 140.000 , 0.000 ,EA , 7.000 ,2012/08/01,M,P,I,
13469 ,K23,3020184 ,0001,5500049638,000020, 140.000 , 0.000 ,EA , 7.000 ,2012/09/01,M,P,I,
13469 ,K23,3020184 ,0001,5500049638,000020, 140.000 , 0.000 ,EA , 7.000 ,2012/11/01,M,P,I,
13469 ,K23,3020184 ,0001,5500049638,000020, 140.000 , 0.000 ,EA , 7.000 ,2012/12/01,M,P,I,
13469 ,K23,3020184 ,0001,5500049638,000020, 140.000 , 0.000 ,EA , 7.000 ,2013/02/01,M,P,I,
13469 ,K23,3020184 ,0001,5500049638,000020, 140.000 , 0.000 ,EA , 7.000 ,2013/04/01,M,P,I,
13469 ,K23,3020184 ,0001,5500049638,000020, 140.000 , 0.000 ,EA , 14.000 ,2013/05/01,Q,P,I,
13469 ,K23,3020184 ,0001,5500049638,000020, 140.000 , 0.000 ,EA , 21.000 ,2013/08/01,Q,P,I,
13469 ,K23,3020184 ,0001,5500049638,000020, 140.000 , 0.000 ,EA , 7.000 ,2013/11/01,Q,P,I,
13469 ,K23,3020184 ,0001,5500049638,000020, 140.000 , 0.000 ,EA , 14.000 ,2014/02/01,Q,P,I,
13469 ,K23,3020184 ,0001,5500049638,000020, 140.000 , 0.000 ,EA , 35.000 ,2014/04/30,A,P,I,
13469 ,K23,3020184 ,0022,5500055846,000010, 7.000 , 0.000 ,EA , 7.000 ,2012/08/07,D,P,I,
