Vendor,Buyer,Material Number,Plant,Doc Number,Item,Total Ordered,Total Received,Unit,Outstand Qty,Stat Date,Qual,S/P,Stat,Pull
15165 ,D07,3007950 ,0017,FORECAST ,000000, 11.000 , 0.000 ,EA , 3.000 ,2011/07/31,A,P,I,
15165 ,D07,3007950 ,0017,FORECAST ,000000, 11.000 , 0.000 ,EA , 6.000 ,2012/07/31,A,P,I,
15165 ,D07,3007950 ,0017,FORECAST ,000000, 11.000 , 0.000 ,EA , 2.000 ,2013/07/31,A,P,I,
15165 ,D07,3008949 ,0017,FORECAST ,000000, 17.000 , 0.000 ,EA , 2.000 ,2011/02/01,Q,P,I,
15165 ,D07,3008949 ,0017,FORECAST ,000000, 17.000 , 0.000 ,EA , 1.000 ,2011/05/01,Q,P,I,
15165 ,D07,3008949 ,0017,FORECAST ,000000, 17.000 , 0.000 ,EA , 6.000 ,2011/07/31,A,P,I,
15165 ,D07,3008949 ,0017,FORECAST ,000000, 17.000 , 0.000 ,EA , 6.000 ,2012/07/31,A,P,I,
15165 ,D07,3008949 ,0017,FORECAST ,000000, 17.000 , 0.000 ,EA , 2.000 ,2013/07/31,A,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 3408.000 , 3376.000 ,EA , 7.000 ,2009/08/14,D,S,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 3408.000 , 0.000 ,EA , 16.000 ,2009/08/24,D,S,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 3408.000 , 0.000 ,EA , 9.000 ,2009/09/04,D,S,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 13.000 ,2009/09/21,W,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 24.000 ,2009/10/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 28.000 ,2009/11/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 26.000 ,2009/12/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 24.000 ,2010/01/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 24.000 ,2010/02/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 35.000 ,2010/03/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 24.000 ,2010/04/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 24.000 ,2010/05/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 28.000 ,2010/06/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 31.000 ,2010/07/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 60.000 ,2010/08/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 86.000 ,2010/11/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 89.000 ,2011/02/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 79.000 ,2011/05/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 1095.000 , 0.000 ,EA , 329.000 ,2011/07/31,A,P,I,
