Vendor,Buyer,Material Number,Plant,Doc Number,Item,Total Ordered,Total Received,Unit,Outstand Qty,Stat Date,Qual,S/P,Stat,Pull
15165,D07,3004192,17,FORECAST ,0,3,0,EA ,5,1/11/2008,Q,P,I,
15165,D07,3004192,17,FORECAST ,0,3,0,EA ,2,31/07/09,A,P,I,
15165,D07,3007950,1,FORECAST ,0,20,0,EA ,10,1/8/2008,Q,P,I,
15165,D07,3007950,1,FORECAST ,0,20,0,EA ,10,31/07/09,A,P,I,
15165,D07,3009652,1,5500016170,10,2255,2127,EA ,26,3/7/2007,D,S,S,
15165,D07,3009652,1,5500016170,10,2255,0,EA ,21,18/07/07,D,S,S,
15165,D07,3009652,1,5500016170,10,2255,0,EA ,20,1/8/2007,D,S,S,
15165,D07,3009652,1,5500016170,10,2255,0,EA ,27,9/8/2007,D,S,S,
15165,D07,3009652,1,5500016170,10,2255,0,EA ,19,22/08/07,D,S,S,
15165,D07,3009652,1,5500016170,10,2255,0,EA ,15,29/08/07,D,S,S,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,23,10/9/2007,W,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,29,17/09/07,W,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,59,1/10/2007,M,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,80,1/11/2007,M,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,47,1/12/2007,M,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,58,1/1/2008,M,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,65,1/2/2008,M,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,59,1/3/2008,M,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,69,1/4/2008,M,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,94,1/5/2008,M,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,63,1/6/2008,M,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,60,1/7/2008,M,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,222,1/8/2008,Q,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,171,1/11/2008,Q,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,169,1/2/2009,Q,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,194,1/5/2009,Q,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,787,31/07/09,A,P,I,
15165,D07,3009652,1,5500016170,10,2577,0,EA ,328,31/07/10,A,P,I,
15165,D07,3010607,17,5500020789,10,557,543,EA ,14,30/08/07,D,S,I,
15165,D07,3010607,17,5500020789,10,392,0,EA ,14,24/09/07,W,P,I,
15165,D07,3010607,17,5500020789,10,392,0,EA ,14,1/11/2007,M,P,I,
15165,D07,3010607,17,5500020789,10,392,0,EA ,14,1/12/2007,M,P,I,
15165,D07,3010607,17,5500020789,10,392,0,EA ,14,1/2/2008,M,P,I,
15165,D07,3010607,17,5500020789,10,392,0,EA ,14,1/4/2008,M,P,I,
15165,D07,3010607,17,5500020789,10,392,0,EA ,14,1/5/2008,M,P,I,
15165,D07,3010607,17,5500020789,10,392,0,EA ,14,1/7/2008,M,P,I,
15165,D07,3010607,17,5500020789,10,392,0,EA ,28,1/8/2008,Q,P,I,
15165,D07,3010607,17,5500020789,10,392,0,EA ,28,1/11/2008,Q,P,I,
15165,D07,3010607,17,5500020789,10,392,0,EA ,28,1/2/2009,Q,P,I,
15165,D07,3010607,17,5500020789,10,392,0,EA ,28,1/5/2009,Q,P,I,
15165,D07,3010607,17,5500020789,10,392,0,EA ,98,31/07/09,A,P,I,
15165,D07,3010607,17,5500020789,10,392,0,EA ,84,31/07/10,A,P,I,
15165,D07,3011351,1,4500966966,10,40,0,EA ,40,26/07/07,D,S,I,
15165,D07,3011351,1,FORECAST ,0,160,0,EA ,40,1/5/2008,M,P,I,
15165,D07,3011351,1,FORECAST ,0,160,0,EA ,40,1/2/2009,Q,P,I,
15165,D07,3011351,1,FORECAST ,0,160,0,EA ,80,31/07/09,A,P,I,
15165,D07,3013151,1,5500016291,20,273,206,EA ,26,5/7/2007,D,S,S,
15165,D07,3013151,1,5500016291,20,273,0,EA ,14,27/07/07,D,S,S,
15165,D07,3013151,1,5500016291,20,273,0,EA ,9,8/8/2007,D,S,S,
15165,D07,3013151,1,5500016291,20,273,0,EA ,18,16/08/07,D,S,S,
15165,D07,3013151,1,5500016291,20,2106,0,EA ,23,27/08/07,W,P,I,
15165,D07,3013151,1,5500016291,20,2106,0,EA ,31,10/9/2007,W,P,I,
15165,D07,3013151,1,5500016291,20,2106,0,EA ,22,24/09/07,W,P,I,
15165,D07,3013151,1,5500016291,20,2106,0,EA ,48,1/10/2007,M,P,I,
15165,D07,3013151,1,5500016291,20,2106,0,EA ,47,1/11/2007,M,P,I,
15165,D07,3013151,1,5500016291,20,2106,0,EA ,40,1/12/2007,M,P,I,
15165,D07,3013151,1,5500016291,20,2106,0,EA ,51,1/1/2008,M,P,I,
15165,D07,3013151,1,5500016291,20,2106,0,EA ,44,1/2/2008,M,P,I,
