Vendor,Buyer,Material Number,Plant,Doc Number,Item,Total Ordered,Total Received,Unit,Outstand Qty,Stat Date,Qual,S/P,Stat,Pull
13469 ,K11,30C4576-01 ,0001,FORECAST ,000000, 5.000 , 0.000 ,EA , 5.000 ,2011/04/30,A,P,I,
13469 ,K11,30C4577-01 ,0001,FORECAST ,000000, 5.000 , 0.000 ,EA , 5.000 ,2011/04/30,A,P,I,
13469 ,K23,3020184 ,0001,4501115189,000010, 42.000 , 0.000 ,EA , 42.000 ,2008/07/22,D,S,I,
13469 ,K23,3020184 ,0001,4501115189,000020, 41.000 , 0.000 ,EA , 41.000 ,2008/09/20,D,S,I,
13469 ,K23,3020184 ,0001,4501115853,000010, 42.000 , 0.000 ,EA , 42.000 ,2008/11/10,D,S,I,
13469 ,K23,3023479 ,0001,4501116233,000010, 30.000 , 0.000 ,EA , 30.000 ,2008/08/10,D,S,I,
13469 ,K23,3023479 ,0001,4501116233,000020, 30.000 , 0.000 ,EA , 30.000 ,2008/09/10,D,S,I,
13469 ,K23,3028855 ,0001,4501116359,000010, 100.000 , 0.000 ,EA , 50.000 ,2008/11/11,D,S,I,
13469 ,K23,3028855 ,0001,4501116359,000010, 100.000 , 0.000 ,EA , 50.000 ,2008/12/30,D,S,I,
13469 ,K23,3038165CL1 ,0001,5500038841,000010, 262.000 , 212.000 ,EA , 11.000 ,2008/06/19,D,S,S,
13469 ,K23,3038165CL1 ,0001,5500038841,000010, 262.000 , 0.000 ,EA , 15.000 ,2008/06/19,D,S,S,
13469 ,K23,3038165CL1 ,0001,5500038841,000010, 1574.000 , 0.000 ,EA , 14.000 ,2008/07/01,M,P,I,
13469 ,K23,3038165CL1 ,0001,5500038841,000010, 262.000 , 0.000 ,EA , 9.000 ,2008/07/14,D,S,S,
13469 ,K23,3038165CL1 ,0001,5500038841,000010, 262.000 , 0.000 ,EA , 15.000 ,2008/07/22,D,S,S,
13469 ,K23,3038165CL1 ,0001,5500038841,000010, 1574.000 , 0.000 ,EA , 48.000 ,2008/08/01,M,P,I,
