Vendor  ,Buyer ,Material Number,Plant ,Doc Number,Item,Total Ordered ,Total Received,Unit ,Outstand Qty ,Stat Date ,Qual  ,S/P,Stat,Pull
719349 ,D02,3009652 ,0001,4502121322,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/02,D,S,I,
719349 ,D02,000000000000000000000000000003009652 ,0001,4502121322,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/02,D,S,I,
719349 ,D02,3016203 ,0001,4502121417,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/09,D,S,I,
719349 ,D02,3035478 ,0001,4502121310,000010, 5.000 , 0.000 ,EA , 5.000 ,2014/09/28,D,S,I,
719349 ,D02,3035478 ,0001,4502121310,000020, 20.000 , 0.000 ,EA , 20.000 ,2015/01/10,D,S,I,
719349 ,D02,3044758-01 ,0001,4502144388,000010, 5.000 , 0.000 ,EA , 5.000 ,2014/10/15,D,S,I,
719349 ,D02,3044758-01 ,0001,4502144388,000020, 20.000 , 0.000 ,EA , 20.000 ,2014/12/15,D,S,I,
719349 ,D02,3045858-01 ,0001,4502121573,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/11/16,D,S,I,
719349 ,D02,3045905-01 ,0001,4502119992,000010, 5.000 , 0.000 ,EA , 5.000 ,2014/10/23,D,S,I,
719349 ,D02,3045905-01 ,0001,4502119992,000020, 20.000 , 0.000 ,EA , 20.000 ,2015/01/09,D,S,I,
719349 ,D02,3054979-01 ,0001,4502124384,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/11/09,D,S,I,
719349 ,D02,3058309-01 ,0001,4502121548,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/11/03,D,S,I,
719349 ,D02,3059673-01 ,0001,4502121353,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/02,D,S,I,
719349 ,D02,3059692-01 ,0001,4502121382,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/09,D,S,I,
719349 ,D02,3072019-01 ,0001,4502121434,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/09,D,S,I,
719349 ,D02,3076928-01 ,0001,4502121478,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/23,D,S,I,
719349 ,D02,30B5349-01 ,0001,4502120721,000010, 5.000 , 0.000 ,EA , 5.000 ,2014/09/28,D,S,I,
719349 ,D02,30B5349-01 ,0001,4502120721,000020, 20.000 , 0.000 ,EA , 20.000 ,2015/01/10,D,S,I,
719349 ,D02,30C6218-01 ,0001,4502121475,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/11/13,D,S,I,
719349 ,D02,30J1296CL46 ,0001,4502142906,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/09/30,D,S,I,
719349 ,D02,30L1333-01 ,0001,4502121507,000010, 5.000 , 0.000 ,EA , 5.000 ,2014/10/27,D,S,I,
719349 ,D02,30L1333-01 ,0001,4502121507,000020, 20.000 , 0.000 ,EA , 20.000 ,2015/01/01,D,S,I,
719349 ,D02,30L1690-01 ,0001,4502121563,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/11/09,D,S,I,
719349 ,D02,30L1761-01 ,0001,4502121497,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/20,D,S,I,
719349 ,D02,30L1842-01 ,0001,4502121534,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/27,D,S,I,
719349 ,D02,30L2081-01 ,0001,4502121486,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/20,D,S,I,
719349 ,D02,30L2082-01 ,0001,4502121567,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/11/09,D,S,I,
719349 ,D02,30P2327-01 ,0001,4502121552,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/11/03,D,S,I,
719349 ,D02,3113546-01 ,0001,4502120662,000010, 5.000 , 0.000 ,EA , 5.000 ,2014/09/25,D,S,I,
719349 ,D02,3113546-01 ,0001,4502120662,000020, 20.000 , 0.000 ,EA , 20.000 ,2015/01/10,D,S,I,
719349 ,D02,3115487-01 ,0001,4502120735,000010, 5.000 , 0.000 ,EA , 5.000 ,2014/09/28,D,S,I,
719349 ,D02,3115487-01 ,0001,4502120735,000020, 20.000 , 0.000 ,EA , 20.000 ,2015/01/10,D,S,I,
719349 ,D02,31B4404-01 ,0001,4502121583,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/11/16,D,S,I,
719349 ,D02,3902019-01 ,0001,4502121355,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/02,D,S,I,
719349 ,D02,3902223-01 ,0001,4502124324,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/16,D,S,I,
719349 ,D02,3902462-01 ,0001,4502120678,000010, 5.000 , 0.000 ,EA , 5.000 ,2014/09/25,D,S,I,
719349 ,D02,3902462-01 ,0001,4502120678,000020, 20.000 , 0.000 ,EA , 20.000 ,2014/11/15,D,S,I,
719349 ,D02,3902829-01 ,0001,4502121490,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/20,D,S,I,
719349 ,D02,3910473-01 ,0001,4502121557,000010, 5.000 , 0.000 ,EA , 5.000 ,2014/11/03,D,S,I,
719349 ,D02,3910473-01 ,0001,4502121557,000020, 20.000 , 0.000 ,EA , 20.000 ,2014/11/03,D,S,I,
719349 ,D02,MD3066261 ,0001,4502121544,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/10/27,D,S,I,
719349 ,D02,ST3268-076 ,0001,4502144402,000010, 1.000 , 0.000 ,EA , 1.000 ,2014/11/15,D,S,I,
