Vendor  ,Buyer ,Material Number,Plant ,Doc Number,Item,Total Ordered ,Total Received,Unit ,Outstand Qty ,Stat Date ,Qual  ,S/P,Stat,Pull
13469 ,D02,3014557 ,0001,4502792715,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/04/20,D,S,A,
13469 ,D02,3014557 ,0001,4502792715,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/05/20,D,S,A,
13469 ,D02,3017967 ,0001,4502767084,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/04/10,D,S,I,
13469 ,D02,3017967 ,0001,4502767084,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/05/10,D,S,I,
13469 ,D02,3039172 ,0001,4502766962,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/05/20,D,S,I,
13469 ,D02,3039172 ,0001,4502766962,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/06/20,D,S,I,
13469 ,D02,3054756-01 ,0001,4502792437,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/05/25,D,S,A,
13469 ,D02,3054756-01 ,0001,4502792437,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/06/25,D,S,A,
13469 ,D02,3054768-01 ,0001,4502792573,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/05/25,D,S,A,
13469 ,D02,3054768-01 ,0001,4502792573,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/06/25,D,S,A,
13469 ,D02,3071120-01 ,0001,4502792888,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/04/15,D,S,A,
13469 ,D02,3071120-01 ,0001,4502792888,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/05/15,D,S,A,
13469 ,D02,3072571-01 ,0001,4502793006,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/08/05,D,S,A,
13469 ,D02,3072571-01 ,0001,4502793006,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/09/05,D,S,A,
13469 ,D02,3076003-01 ,0001,4502767069,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/04/25,D,S,I,
13469 ,D02,3076003-01 ,0001,4502767069,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/05/25,D,S,I,
13469 ,D02,3076003-02 ,0001,4502766990,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/04/25,D,S,I,
13469 ,D02,3076003-02 ,0001,4502766990,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/05/25,D,S,I,
13469 ,D02,30B4484-01 ,0001,4502767079,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/07/15,D,S,I,
13469 ,D02,30B4484-01 ,0001,4502767079,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/08/15,D,S,I,
13469 ,D02,3107037-01 ,0001,4502767021,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/04/25,D,S,I,
13469 ,D02,3107037-01 ,0001,4502767021,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/05/25,D,S,I,
13469 ,D02,3112852-01 ,0001,4502792958,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/06/25,D,S,A,
13469 ,D02,3112852-01 ,0001,4502792958,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/07/25,D,S,A,
13469 ,D02,3114664-01 ,0001,4502767062,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/04/10,D,S,I,
13469 ,D02,3114664-01 ,0001,4502767062,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/05/10,D,S,I,
13469 ,D02,3115907-01 ,0001,4502766944,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/05/20,D,S,I,
13469 ,D02,3115907-01 ,0001,4502766944,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/06/20,D,S,I,
13469 ,D02,3116035-01 ,0001,4502767027,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/04/25,D,S,I,
13469 ,D02,3116035-01 ,0001,4502767027,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/05/25,D,S,I,
13469 ,D02,3119967-01 ,0001,4502767002,000010, 25.000 , 0.000 ,EA , 5.000 ,2017/05/20,D,S,I,
13469 ,D02,3119967-01 ,0001,4502767002,000010, 25.000 , 0.000 ,EA , 20.000 ,2017/06/20,D,S,I,
13469 ,D10,3047211-01 ,0001,FORECAST ,000000, 170.000 , 0.000 ,EA , 10.000 ,2017/09/01,M,P,I,
13469 ,D10,3047211-01 ,0001,FORECAST ,000000, 170.000 , 0.000 ,EA , 10.000 ,2017/10/01,M,P,I,
13469 ,D10,3047211-01 ,0001,FORECAST ,000000, 170.000 , 0.000 ,EA , 10.000 ,2017/11/01,M,P,I,
13469 ,D10,3047211-01 ,0001,FORECAST ,000000, 170.000 , 0.000 ,EA , 20.000 ,2018/02/01,Q,P,I,
13469 ,D10,3047211-01 ,0001,FORECAST ,000000, 170.000 , 0.000 ,EA , 10.000 ,2018/05/01,Q,P,I,
13469 ,D10,3047211-01 ,0001,FORECAST ,000000, 170.000 , 0.000 ,EA , 20.000 ,2018/08/01,Q,P,I,
13469 ,D10,3047211-01 ,0001,FORECAST ,000000, 170.000 , 0.000 ,EA , 20.000 ,2018/11/01,Q,P,I,
13469 ,D10,3047211-01 ,0001,FORECAST ,000000, 170.000 , 0.000 ,EA , 60.000 ,2019/02/01,A,P,I,
13469 ,D10,3047211-01 ,0001,FORECAST ,000000, 170.000 , 0.000 ,EA , 10.000 ,2020/02/01,A,P,I,
13469 ,D10,3047212-01 ,0001,5500087613,000010, 210.000 , 0.000 ,EA , 10.000 ,2017/05/01,M,P,I,
13469 ,D10,3047212-01 ,0001,5500087613,000010, 210.000 , 0.000 ,EA , 10.000 ,2017/07/01,M,P,I,
