Vendor,Buyer,Material Number,Plant,Doc Number,Item,Total Ordered,Total Received,Unit,Outstand Qty,Stat Date,Qual,S/P,Stat,Pull
13469 ,I23,3902113-01 ,0001,FORECAST ,000000, 98.000 , 0.000 ,EA , 2.000 ,2009/10/01,M,P,I,
13469 ,I23,3902113-01 ,0001,FORECAST ,000000, 98.000 , 0.000 ,EA , 2.000 ,2009/11/01,M,P,I,
13469 ,I23,3902113-01 ,0001,FORECAST ,000000, 98.000 , 0.000 ,EA , 2.000 ,2009/12/01,M,P,I,
13469 ,I23,3902113-01 ,0001,FORECAST ,000000, 98.000 , 0.000 ,EA , 4.000 ,2010/01/01,M,P,I,
13469 ,I23,3902113-01 ,0001,FORECAST ,000000, 98.000 , 0.000 ,EA , 2.000 ,2010/02/01,M,P,I,
13469 ,I23,3902113-01 ,0001,FORECAST ,000000, 98.000 , 0.000 ,EA , 4.000 ,2010/03/01,M,P,I,
13469 ,I23,3902113-01 ,0001,FORECAST ,000000, 98.000 , 0.000 ,EA , 3.000 ,2010/04/01,M,P,I,
13469 ,I23,3902113-01 ,0001,FORECAST ,000000, 98.000 , 0.000 ,EA , 5.000 ,2010/05/01,Q,P,I,
13469 ,I23,3902113-01 ,0001,FORECAST ,000000, 98.000 , 0.000 ,EA , 10.000 ,2010/08/01,Q,P,I,
13469 ,I23,3902113-01 ,0001,FORECAST ,000000, 98.000 , 0.000 ,EA , 11.000 ,2010/11/01,Q,P,I,
13469 ,I23,3902113-01 ,0001,FORECAST ,000000, 98.000 , 0.000 ,EA , 16.000 ,2011/02/01,Q,P,I,
13469 ,I23,3902113-01 ,0001,FORECAST ,000000, 98.000 , 0.000 ,EA , 37.000 ,2011/04/30,A,P,I,
13469 ,K23,06X3073844-01 ,0102,4501242522,000010, 0.000 , 0.000 ,EA , 1.000 ,2009/04/20,D,S,I,
13469 ,K23,06X3073844-01 ,0102,4501242522,000020, 0.000 , 0.000 ,EA , 1.000 ,2009/04/20,D,S,I,
13469 ,K23,3020184 ,0001,4501115189,000040, 35.000 , 13.000 ,EA , 22.000 ,2009/12/08,D,S,I,
13469 ,K23,3020184 ,0001,4501115189,000050, 41.000 , 26.000 ,EA , 15.000 ,2009/05/14,D,S,I,
13469 ,K23,3020184 ,0001,4501229163,000010, 45.000 , 0.000 ,EA , 45.000 ,2010/05/07,D,S,I,
13469 ,K23,3020184 ,0001,FORECAST ,000000, 84.000 , 0.000 ,EA , 42.000 ,2011/02/01,Q,P,I,
13469 ,K23,3020184 ,0001,FORECAST ,000000, 84.000 , 0.000 ,EA , 42.000 ,2011/04/30,A,P,I,
13469 ,K23,3023479 ,0001,4501116233,000010, 30.000 , 0.000 ,EA , 26.000 ,2008/12/18,D,S,I,
