Vendor,Buyer,Material Number,Plant,Doc Number,Item,Total Ordered,Total Received,Unit,Outstand Qty,Stat Date,Qual,S/P,Stat,Pull
15165 ,D07,3004192 ,0017,FORECAST ,000000, 3.000 , 0.000 ,EA , 1.000 ,2008/11/01,Q,P,I,
15165 ,D07,3004192 ,0017,FORECAST ,000000, 3.000 , 0.000 ,EA , 2.000 ,2009/07/31,A,P,I,
15165 ,D07,3007950 ,0001,FORECAST ,000000, 20.000 , 0.000 ,EA , 10.000 ,2008/08/01,Q,P,I,
15165 ,D07,3007950 ,0001,FORECAST ,000000, 20.000 , 0.000 ,EA , 10.000 ,2009/07/31,A,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2240.000 , 2127.000 ,EA , 26.000 ,2007/07/03,D,S,S,
15165 ,D07,3009652 ,0001,5500016170,000010, 2240.000 , 0.000 ,EA , 21.000 ,2007/07/18,D,S,S,
15165 ,D07,3009652 ,0001,5500016170,000010, 2240.000 , 0.000 ,EA , 20.000 ,2007/08/01,D,S,S,
15165 ,D07,3009652 ,0001,5500016170,000010, 2240.000 , 0.000 ,EA , 27.000 ,2007/08/09,D,S,S,
15165 ,D07,3009652 ,0001,5500016170,000010, 2240.000 , 0.000 ,EA , 19.000 ,2007/08/22,D,S,S,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 23.000 ,2007/08/27,W,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 31.000 ,2007/09/10,W,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 27.000 ,2007/09/24,W,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 57.000 ,2007/10/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 56.000 ,2007/11/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 48.000 ,2007/12/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 84.000 ,2008/01/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 66.000 ,2008/02/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 67.000 ,2008/03/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 65.000 ,2008/04/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 61.000 ,2008/05/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 62.000 ,2008/06/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 90.000 ,2008/07/01,M,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 166.000 ,2008/08/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 178.000 ,2008/11/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 199.000 ,2009/02/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 199.000 ,2009/05/01,Q,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 787.000 ,2009/07/31,A,P,I,
15165 ,D07,3009652 ,0001,5500016170,000010, 2594.000 , 0.000 ,EA , 328.000 ,2010/07/31,A,P,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 557.000 , 543.000 ,EA , 14.000 ,2007/08/30,D,S,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 392.000 , 0.000 ,EA , 14.000 ,2007/09/24,W,P,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 392.000 , 0.000 ,EA , 14.000 ,2007/11/01,M,P,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 392.000 , 0.000 ,EA , 14.000 ,2007/12/01,M,P,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 392.000 , 0.000 ,EA , 14.000 ,2008/02/01,M,P,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 392.000 , 0.000 ,EA , 14.000 ,2008/04/01,M,P,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 392.000 , 0.000 ,EA , 14.000 ,2008/05/01,M,P,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 392.000 , 0.000 ,EA , 14.000 ,2008/07/01,M,P,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 392.000 , 0.000 ,EA , 28.000 ,2008/08/01,Q,P,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 392.000 , 0.000 ,EA , 28.000 ,2008/11/01,Q,P,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 392.000 , 0.000 ,EA , 28.000 ,2009/02/01,Q,P,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 392.000 , 0.000 ,EA , 28.000 ,2009/05/01,Q,P,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 392.000 , 0.000 ,EA , 98.000 ,2009/07/31,A,P,I,
15165 ,D07,3010607 ,0017,5500020789,000010, 392.000 , 0.000 ,EA , 84.000 ,2010/07/31,A,P,I,
15165 ,D07,3011351 ,0001,4500966966,000010, 40.000 , 0.000 ,EA , 40.000 ,2007/07/26,D,S,I,
