"Interface Type:","ZSACONF",,,,,,,,,,,,,,
"Owner Partner:","SP247E",,,,,,,,,,,,,,
"Partner:","PW",,,,,,,,,,,,,,
"Selection Profile Number:","00000000000000002669",,,,,,,,,,,,,,
"Selection Profile Name:","PO/scheduling agreement",,,,,,,,,,,,,,
"Created By:","V1011307",,,,,,,,,,,,,,
"Created On:","10/28/2016 12:50:58 EST",,,,,,,,,,,,,,
"*Date Format MM/DD/YYYY",,,,,,,,,,,,,,,
"*Column (P) is System Generated No.",,,,,,,,,,,,,,,
"* Allowed for changes... ( conf qty, conf date, reason code and text)",,,,,,,,,,,,,,,
"PREV_ID","ORDER_ID","ITEM_ID","SCH_LINE_ID","PRODUCT_ID","DELIVERY_DATE","REQUESTED_QTY","RESCH_DATE","RESCH_QTY","CONF_DATE","CONF_QTY","UNIT","RCODE","ZCOMMENTS","STATUS","CONFIRMATION"
"SA Release No.","Reference Document","Ref.ItemID","SL No.","Product","Delivery Date","Sched. Qty","Reschedule Date","Reschedule Qty.","Confirmed Date","Conf. Qty","UoM","Reason Code","Text","Conf. Status","Don't Update / Delete System Generated No."
"216","5600164419","00010","1","5304120","12/01/2016","1.00","","0.00","12/01/2016","0.00","EA","","","Request","1001198212"
"216","5600164419","00010","2","5304120","01/03/2017","3.00","","0.00","01/03/2017","0.00","EA","","","Request","1001458632"
"218","5600163236","00010","1","5304263","09/01/2016","1.00","","0.00","10/28/2016","0.00","EA","","","Request","1000444460"
"218","5600163236","00010","2","5304263","10/03/2016","1.00","","0.00","10/28/2016","0.00","EA","","","Request","1001547492"
"218","5600163236","00010","3","5304263","12/01/2016","1.00","","0.00","12/01/2016","0.00","EA","","","Request","1001547493"
"215","5600164362","00010","1","5304264","09/01/2016","1.00","","0.00","10/28/2016","0.00","EA","","","Request","1000444290"
"215","5600164362","00010","2","5304264","10/03/2016","1.00","","0.00","10/28/2016","0.00","EA","","","Request","1001547495"
"215","5600164427","00010","1","5304389","12/01/2016","1.00","","0.00","12/01/2016","0.00","EA","","","Request","1001197722"
"215","5600164427","00010","2","5304389","01/03/2017","3.00","","0.00","01/03/2017","0.00","EA","","","Request","1001457834"
"214","5600164369","00010","1","5304886","10/03/2016","1.00","","0.00","10/28/2016","0.00","EA","","","Request","1000704436"
"214","5600164369","00010","2","5304886","11/01/2016","1.00","","0.00","11/01/2016","0.00","EA","","","Request","1001547644"
"214","5600164369","00010","3","5304886","12/01/2016","2.00","","0.00","12/01/2016","0.00","EA","","","Request","1001547645"
"214","5600164369","00010","4","5304886","01/03/2017","5.00","","0.00","01/03/2017","0.00","EA","","","Request","1001547646"
"214","5600164370","00010","1","5304925","10/03/2016","1.00","","0.00","10/28/2016","0.00","EA","","","Request","1000704404"
"214","5600164370","00010","2","5304925","01/03/2017","9.00","","0.00","01/03/2017","0.00","EA","","","Request","1001460136"
"212","5600164379","00010","1","5305295","10/31/2016","1.00","","0.00","10/31/2016","0.00","EA","","","Request","1001330018"
"212","5600164379","00010","2","5305295","12/22/2016","8.00","12/23/2016","8.00","12/22/2016","8.00","EA","","","Request","1001467286"
"212","5600164383","00010","1","5305296","11/01/2016","1.00","","0.00","11/01/2016","0.00","EA","","","Request","1001556639"
"212","5600164383","00010","2","5305296","01/03/2017","8.00","","0.00","01/03/2017","0.00","EA","","","Request","1001556640"
"212","5600164378","00010","1","5311239","11/01/2016","1.00","","0.00","11/01/2016","0.00","EA","","","Request","1001547562"
"212","5600164378","00010","2","5311239","01/03/2017","3.00","","0.00","01/03/2017","0.00","EA","","","Request","1001547563"
"214","5600164376","00010","1","5311568","10/03/2016","1.00","","0.00","10/28/2016","0.00","EA","","","Request","1001547726"
"214","5600164376","00010","2","5311568","01/03/2017","4.00","","0.00","01/03/2017","0.00","EA","","","Request","1001547727"
"217","5600163221","00010","1","5311586","07/01/2016","1.00","","0.00","10/28/2016","0.00","EA","","","Request","1001547719"
"217","5600163221","00010","2","5311586","08/01/2016","3.00","","0.00","10/28/2016","0.00","EA","","","Request","1001547720"
"217","5600163221","00010","3","5311586","09/01/2016","3.00","","0.00","10/28/2016","0.00","EA","","","Request","1001547721"
"217","5600163222","00010","1","5311641","07/01/2016","1.00","","0.00","10/28/2016","0.00","EA","","","Request","1000090293"
"217","5600163222","00010","2","5311641","08/01/2016","3.00","","0.00","10/28/2016","0.00","EA","","","Request","1000090294"
"217","5600163222","00010","3","5311641","09/01/2016","3.00","","0.00","10/28/2016","0.00","EA","","","Request","1000444454"
"214","5600164366","00010","1","5315563","10/03/2016","1.00","","0.00","10/28/2016","0.00","EA","","","Request","1000704677"
"214","5600164366","00010","2","5315563","01/03/2017","4.00","","0.00","01/03/2017","0.00","EA","","","Request","1001547708"
"213","5600164407","00010","1","5316827","11/30/2016","1.00","","0.00","11/30/2016","0.00","EA","","","Request","1001330673"
"213","5600164407","00010","2","5316827","12/22/2016","3.00","12/23/2016","3.00","12/22/2016","3.00","EA","","","Request","1001467590"
"213","5600164397","00010","1","5316828","11/30/2016","1.00","","0.00","11/30/2016","0.00","EA","","","Request","1001331172"
"213","5600164397","00010","2","5316828","12/22/2016","3.00","12/23/2016","3.00","12/22/2016","3.00","EA","","","Request","1001467578"
