"Roll Up Vendor","Supplier","Lean Item","Product","Plant","SA/ PO: Order number","SA/ PO: Item number","Requested Quantity","Unit of Measure","Requested Date","Forecast Timing Qualifier"
"SP247E","0000000358","","30G1703","1050","5600163225","00010","3.00 ","EA","03/01/2017","D"
"SP247E","0000000358","","30G1703","1050","5600163225","00010","8.00 ","EA","04/03/2017","D"
"SP247E","0000000358","","30G1875","1050","5600163231","00010","3.00 ","EA","03/01/2017","D"
"SP247E","0000000358","","30G1875","1050","5600163231","00010","8.00 ","EA","04/03/2017","D"
"SP247E","0000000358","","30G3459","COR1","FORECAST","","32.00 ","EA","02/01/2019","Q"
"SP247E","0000000358","","30G3459","COR1","FORECAST","","32.00 ","EA","05/01/2019","Q"
"SP247E","0000000358","","30G3459","COR1","FORECAST","","35.00 ","EA","08/01/2019","Q"
"SP247E","0000000358","","30G3459","COR1","FORECAST","","18.00 ","EA","11/01/2019","Q"
"SP247E","0000000358","","5304120","1050","5600164419","00010","3.00 ","EA","03/01/2017","D"
"SP247E","0000000358","","5304120","1050","5600164419","00010","15.00 ","EA","04/03/2017","D"
"SP247E","0000000358","","5304263","1050","5600163236","00010","11.00 ","EA","01/17/2017","D"
"SP247E","0000000358","","5304264","1050","5600164362","00010","12.00 ","EA","01/17/2017","D"
"SP247E","0000000358","","5304389","1050","5600164427","00010","3.00 ","EA","05/01/2017","W"
"SP247E","0000000358","","5304389","1050","5600164427","00010","15.00 ","EA","05/29/2017","W"
"SP247E","0000000358","","5304886","1050","5600164369","00010","14.00 ","EA","01/17/2017","D"
"SP247E","0000000358","","5304925","1050","5600164370","00010","10.00 ","EA","01/17/2017","D"
"SP247E","0000000358","","5304925","1050","5600164370","00010","8.00 ","EA","02/01/2017","D"
"SP247E","0000000358","","5305295","1050","5600164379","00010","9.00 ","EA","01/17/2017","D"
"SP247E","0000000358","","5305295","1050","5600164379","00010","11.00 ","EA","01/30/2017","D"
"SP247E","0000000358","","5305296","1050","5600164383","00010","9.00 ","EA","01/17/2017","D"
"SP247E","0000000358","","5305296","1050","5600164383","00010","11.00 ","EA","02/01/2017","D"
"SP247E","0000000358","","5311239","1050","5600164378","00010","11.00 ","EA","01/17/2017","D"
"SP247E","0000000358","","5311568","1050","5600164376","00010","5.00 ","EA","01/17/2017","D"
"SP247E","0000000358","","5311568","1050","5600164376","00010","6.00 ","EA","02/01/2017","D"
"SP247E","0000000358","","5311586","1050","5600163221","00010","11.00 ","EA","01/17/2017","D"
"SP247E","0000000358","","5311641","1050","FORECAST","","7.00 ","EA","01/17/2017","D"
"SP247E","0000000358","","5315563","1050","5600164366","00010","11.00 ","EA","01/17/2017","D"
"SP247E","0000000358","","5316827","1050","5600164407","00010","3.00 ","EA","02/01/2017","D"
"SP247E","0000000358","","5316827","1050","5600164407","00010","15.00 ","EA","03/01/2017","D"
"SP247E","0000000358","","5316828","1050","5600164397","00010","3.00 ","EA","01/30/2017","D"
"SP247E","0000000358","","5316828","1050","5600164397","00010","16.00 ","EA","02/27/2017","D"
"SP247E","0000000358","","5317843","1050","5600164398","00010","3.00 ","EA","01/17/2017","D"
"SP247E","0000000358","","5317843","1050","5600164398","00010","12.00 ","EA","02/01/2017","D"
"SP247E","0000000358","","5317844","1050","5600164384","00010","3.00 ","EA","01/17/2017","D"
"SP247E","0000000358","","5317844","1050","5600164384","00010","12.00 ","EA","02/01/2017","D"
